id,CodigoBarras,Descripcion,Rubro,PrecioCosto,PorcIVA,PorcUtil,PrecioVenta,Proveedor,Stock,StockMin,StockMax,CtrlStock,Activo
"1,7792180001665,""ACEITE CAÑUELAS GIRASOL 1,5 LTS"",Almacén,0.0,0.0,0.0,3830.0,null,0,0,0,false,true"
2,7792180001641,ACEITE CAÑUELAS GIRASOL BOTELLA 900 ML,Almacén,2750.0,0.0,0.0,2750.0,null,0,0,0,false,true
3,87,ACEITE CITRONELLA 1/2 LT,Limpieza,2300.0,0.0,13.04,2600.0,null,0,0,0,false,true
4,7790070012050,ACEITE COCINERO GIRASOL BOTELLA 900 ML,Almacén,2800.0,0.0,0.0,2800.0,null,0,0,0,false,true
5,7793065000056,ACEITE COSTA DEL SOL 1.5L,Almacén,4670.0,0.0,0.0,4670.0,null,4,0,0,false,true
6,7793065000117,ACEITE COSTA DEL SOL 900ML,Almacén,2800.0,0.0,0.0,2800.0,null,0,0,0,false,true
"7,7790272001029,""ACEITE NATURA GIRASOL BOTELLA 1,5 LTS"",Almacén,4780.0,0.0,0.0,4780.0,null,0,0,0,false,true"
8,7790272001005,ACEITE NATURA GIRASOL BOTELLA 900 ML,Almacén,3100.0,0.0,0.0,3100.0,null,0,0,0,false,true
9,7791293047065,ACONDICIONADOR DOVE 200ML,Perfumería,0.0,21.0,0.0,3150.0,null,0,0,0,false,true
10,7791293047072,ACONDICIONADOR DOVE 200ML,Perfumería,0.0,21.0,0.0,3150.0,null,0,0,0,false,true
11,7791293046938,ACONDICIONADOR DOVE DOY PACK 180ML,Perfumería,0.0,21.0,0.0,2600.0,null,0,0,0,false,true
12,7791293045870,ACONDICIONADOR SEDAL,Perfumería,0.0,21.0,0.0,2600.0,null,0,0,0,false,true
13,7791293045856,ACONDICIONADOR SEDAL 200ML,Perfumería,0.0,21.0,0.0,2600.0,null,0,0,0,false,true
14,77942647,ACONDICIONADOR SEDAL CERAMIDAS SOBRE 10 ML,Perfumería,200.0,0.0,0.0,200.0,null,0,0,0,false,true
15,7791293045894,ACONDICIONADOR SEDAL RIZOS,Perfumería,0.0,21.0,0.0,2600.0,null,0,0,0,false,true
16,7790520005816,AEROSOL FUYI,Limpieza,0.0,21.0,0.0,4760.0,null,0,0,0,false,true
17,7797257000121,AGUA IVESS S/GAS 500CC,Bebidas sin Alcohol,700.0,0.0,0.0,700.0,null,0,0,0,false,true
18,7792799000011,AGUA MINERAL ECO DE LOS ANDES SIN GAS 500 CC,Bebidas sin Alcohol,0.0,0.0,0.0,600.0,null,0,0,0,false,true
19,7795930000543,AGUA MINERAL NESTLE. 2.5L,Bebidas sin Alcohol,1074.38,21.0,0.0,1300.0,null,0,0,0,false,true
20,7798065730033,AGUA MINERAL SIERRA DE LOS PADRES 2 LTS,Bebidas sin Alcohol,0.0,0.0,0.0,1150.0,null,0,0,0,false,true
21,7793653004138,AGUA MINERAL TORASSO 500ML,Bebidas sin Alcohol,0.0,21.0,0.0,600.0,null,0,0,0,false,true
22,7790315000149,AGUA MINERAL VILLA DEL SUR AGUA SIN GAS 1.65 L,Bebidas sin Alcohol,1155.56,0.0,12.5,1300.0,null,0,0,0,false,true
23,7798113300270,AGUA MINERAL VILLAMANAOS,Bebidas sin Alcohol,413.22,21.0,0.0,500.0,null,0,0,0,false,true
24,7798062543933,AGUA SABORIZADA BRIO POMELO 1.5L,Bebidas sin Alcohol,0.0,21.0,0.0,950.0,null,0,0,0,false,true
25,7790639002515,AGUA SABORIZADA CELLIER POMELO 600C,Bebidas sin Alcohol,0.0,21.0,0.0,400.0,null,0,0,0,false,true
26,7790036008974,AGUA SABORIZADA FRESH LIMONE 1.5L,Bebidas sin Alcohol,0.0,21.0,0.0,1200.0,null,0,0,0,false,true
